Text,Name,Created At,Tweet Type,
"love em all, but as a bulls fan got to go with mj. in baton rouge, just met lsu freshman ben simmons - will be great https://t.co/Du1gflVYp4",President Obama,Thu Jan 14 17:55:54 +0000 2016,Tweet,
"new power plant rule reduces biggest source of CO2; now we need to invest in clean energy tech, energy efficiency. https://t.co/gQg3FEHXxo",President Obama,Thu Jan 14 17:54:23 +0000 2016,Tweet,
new LA gov edwards just expanded medicaid; gets 1000s coverage &amp; helps the state budget. more states need to follow  https://t.co/08mDX2H4Pt,President Obama,Thu Jan 14 17:51:30 +0000 2016,Tweet,
"Expanded pell grants, capped loan repayments at 10% income, but now want to also make 2 yrs community college free. https://t.co/RS9XFDpp9c",President Obama,Thu Jan 14 17:48:10 +0000 2016,Tweet,
"Before I start, wanted to share this. Liberia is now Ebola-free. Great example of what we can achieve when we lead. https://t.co/qjVcwg8tIi",President Obama,Thu Jan 14 17:45:28 +0000 2016,Tweet,
Hey everyone! Ready to answer your questions here at McKinley High School in Baton Rouge. Let's do this. #AskPOTUS https://t.co/jA1MEbwcxg,President Obama,Thu Jan 14 17:45:04 +0000 2016,Tweet,
Looking forward to hearing your ideas about what we can accomplish this year &amp; beyond. I'll answer your questions on #AskPOTUS at 12:30p ET.,President Obama,Thu Jan 14 14:59:24 +0000 2016,Tweet,
"I'm treating this last State of the Union just like my first - because I'm still just as hungry. I hope you tune in, because it's for you.",President Obama,Wed Jan 13 01:20:19 +0000 2016,Tweet,
"So proud of you, Scott. How long is the delay up there? See you when you get back!  https://t.co/doBpaDeZXq",President Obama,Tue Jan 12 22:58:38 +0000 2016,Tweet,
"About time, Denis! Welcome. Let me know if you need any pointers. https://t.co/WullueHj28",President Obama,Wed Jan 06 22:21:03 +0000 2016,Tweet,
