Text,Name,Created At,Tweet Type,,,
"RT @realDonaldTrump : With the exception of New York &amp; a few other locations, we’ve done MUCH better than most other Countries in dealing with the China Virus. Many of these countries are now having a major second wave. The Fake News is working overtime to make the USA (&amp; me) look as bad as possible!",President Trump,Mon Aug 03 11:48:07 +0000 2020,Retweet,,,
"RT @realDonaldTrump : ....and ruined. The Federal Government must again seek the Death Penalty in a do-over of that chapter of the original trial. Our Country cannot let the appellate decision stand. Also, it is ridiculous that this process is taking so long!",President Trump,Sun Aug 02 20:08:46 +0000 2020,Retweet,,,
"RT @realDonaldTrump : Rarely has anybody deserved the death penalty more than the Boston Bomber, Dzhokhar Tsarnaev. The court agreed that this “was one of the worst domestic terrorist attacks since the 9/11 atrocities”. Yet the appellate court tossed out the death sentence. So many lives lost....",President Trump,Sun Aug 02 20:08:27 +0000 2020,Retweet,,,
RT @realDonaldTrump : Astronauts complete first splashdown in 45 years. Very exciting!,President Trump,Sun Aug 02 19:07:29 +0000 2020,Retweet,,,
RT @realDonaldTrump : Great to have NASA Astronauts return to Earth after very successful two month mission. Thank you to all!,President Trump,Sun Aug 02 18:55:30 +0000 2020,Retweet,,,
"RT @realDonaldTrump : When you see the Drug Companies taking massive  television ads against me, forget what they say (which is false), YOU KNOW THAT DRUG PRICES ARE COMING DOWN, BIG. Favored Nations Clause means USA will pay the lowest price of any nation in the World. Never done before. Watch!!!",President Trump,Sun Aug 02 12:06:25 +0000 2020,Retweet,,,
"RT @realDonaldTrump : Big China Virus breakouts all over the World, including nations which were thought to have done a great job. The Fake News doesn’t report this. USA will be stronger than ever before, and soon! https://t.co/pZwjvgmVTO",President Trump,Sun Aug 02 11:36:53 +0000 2020,Retweet,,,
"RT @realDonaldTrump : I actually agree with this. Too much income disparity. Changes must be made, and soon! https://t.co/YZx6gPDTMb",President Trump,Sat Aug 01 19:39:35 +0000 2020,Retweet,,,
RT @realDonaldTrump : Payroll Tax Cut plus Dollars!,President Trump,Sat Aug 01 19:39:11 +0000 2020,Retweet,,,
"RT @realDonaldTrump : Wrong! We have more cases because we have tested far more than any other country, 60,000,000. If we tested less, there would be less cases. How did Italy, France &amp; Spain do? Now Europe sadly has flare ups. Most of our governors worked hard &amp; smart. We will come back STRONG!

:: https://t.co/hhwYOrnWZn",President Trump,Sat Aug 01 18:46:57 +0000 2020,Retweet,,,
RT @realDonaldTrump : Homeland Security is not leaving Portland until local police complete cleanup of Anarchists and Agitators!,President Trump,Sat Aug 01 13:42:30 +0000 2020,Retweet,,,
RT @realDonaldTrump : We have more Cases because we do more Testing. It’s Lamestream Media Gold!,President Trump,Sat Aug 01 13:42:27 +0000 2020,Retweet,,,
RT @WhiteHouse : Storm safety during the Coronavirus may look different from the past—heed the guidance of state and local officials! https://t.co/wBCimSZmFm,President Trump,Sat Aug 01 13:42:17 +0000 2020,Retweet,,,
"RT @WhiteHouse : .@GovRonDeSantis: ""Any time we needed anything, we would talk to the President, Vice President, and we would get it.""

The Trump Administration stands ready and able to assist! https://t.co/ydnbkrXG75",President Trump,Sat Aug 01 13:42:11 +0000 2020,Retweet,,,
"RT @WhiteHouse : President @realDonaldTrump details the latest surge of testing, equipment, and resources to Florida: https://t.co/RdcRAWvTHP",President Trump,Sat Aug 01 13:42:08 +0000 2020,Retweet,,,
"RT @WhiteHouse : ""The single best way to defeat the disease is personal responsibility ... socially distance, wear a mask when you cannot avoid crowded places or socially distance, and wash your hands as often as possible."" https://t.co/Kia8HjU1GA",President Trump,Sat Aug 01 13:41:51 +0000 2020,Retweet,,,
"RT @WhiteHouse : President @realDonaldTrump gives an update on storm preparedness—""I ask all of those in the path of the storm to follow the guidance of your state, local, and tribal officials."" https://t.co/Q3AZjsXhJ6",President Trump,Fri Jul 31 22:07:13 +0000 2020,Retweet,,,
"RT @realDonaldTrump : The Democrats are holding back the $1,200 to $3,400 (family of four) checks that were ready to be sent out!",President Trump,Fri Jul 31 19:42:54 +0000 2020,Retweet,,,
"RT @realDonaldTrump : Pelosi &amp; Schumer blocked desperately needed unemployment payments, which is so terrible, especially since they fully understand that it was not the workers fault that they are unemployed, it’s the fault of China!",President Trump,Fri Jul 31 19:35:14 +0000 2020,Retweet,,,
"RT @realDonaldTrump : Pelosi &amp; Schumer have no interest in making a deal that is good for our Country and our People. All they want is a trillion dollars, and much more, for their Radical Left Governed States, most of which are doing very badly. It is called a BAILOUT for many years of bad Dem Mgmt!",President Trump,Fri Jul 31 19:35:03 +0000 2020,Retweet,,,
"RT @realDonaldTrump : Great job by Jim Jordan, and also some very good statements by Tony Fauci. Big progress being made! https://t.co/8Oeca9H3yq",President Trump,Fri Jul 31 18:03:47 +0000 2020,Retweet,,,
RT @WhiteHouse : Our dedicated law enforcement officers have a champion in President @realDonaldTrump! https://t.co/BRzEOKII4o,President Trump,Fri Jul 31 17:57:58 +0000 2020,Retweet,,,
RT @WhiteHouse : We are willing to help cities reclaim law and order if they will accept our help. https://t.co/gVoQuH0pQr,President Trump,Fri Jul 31 17:57:51 +0000 2020,Retweet,,,
"RT @WhiteHouse : ""As a result of the outrageous attacks on law enforcement, violent crime has surged in certain Democrat-run cities.""

More from President @realDonaldTrump's meeting with @NAPOpolice leadership: https://t.co/AhgRDqOdqR",President Trump,Fri Jul 31 17:57:45 +0000 2020,Retweet,,,
"RT @realDonaldTrump : .....Our massive testing capability, rather than being praised, is used by the Lamestream Media and their partner, the Do Nothing Radical Left Democrats, as a point of scorn. This testing, and what we have so quickly done, is used as a Fake News weapon. Sad!",President Trump,Fri Jul 31 16:55:19 +0000 2020,Retweet,,,
"RT @realDonaldTrump : Somebody please tell Congressman Clyburn, who doesn’t have a clue, that the chart he put up indicating more CASES for the U.S. than Europe, is because we do MUCH MORE testing than any other country in the World. If we had no testing, or bad testing, we would show very few CASES..",President Trump,Fri Jul 31 16:55:11 +0000 2020,Retweet,,,
RT @realDonaldTrump : Great to spend time with Mike Singletary while going to Texas. He’s one of the greatest football players ever — A strong man and a really good person. Great being with you Mike! https://t.co/lWsYn4lhOm,President Trump,Fri Jul 31 01:44:38 +0000 2020,Retweet,,,
"RT @realDonaldTrump : My Administration has been focused on finding treatments for Coronavirus. If you’ve recovered from Coronavirus, donate your plasma today to help SAVE LIVES! Together, we will beat the Virus!

🌐https://t.co/YLpBCgf837 https://t.co/IyO4livTLm",President Trump,Fri Jul 31 01:44:17 +0000 2020,Retweet,,,
